culicifacies_ind_summer,culicifacies_out_summer,culicifacies_ind_monsoon,culicifacies_out_monsoon,subpictus_Ndoen,aconitus_Ndoen,vagus_WTimor_Ndoen,barbirostris_Ndoen,vagus_Java_Ndoen,minimus_dev,philippinensis_dev,epiroticus_Ind_Ritthison,epiroticus_Out_Ritthison,aconitus_Manh_buffalo,aconitus_Manh_outdoor,aconitus_Manh_outdoor_Khe_Ngang,annularis_Manh_buffalo,barbirostris_Manh_buffalo,dirus_Manh_outdoor_Hang_Chuon,harrisoni_Manh_outdoor_Hang_Chuon,harrisoni_Manh_buffalo,kochi_Manh_buffalo,maculatus_Manh_buffalo,maculatus_Manh_outdoor_Hang_Chuon,nivipes_Manh_buffalo,philippinensis_Manh_buffalo,sawadwongporni_Manh_buffalo,sawadwongporni_Manh_outdoor_Hang_Chuon,sinensis_Manh_buffalo,sinensis_Manh_outdoor,sinensis_Manh_outdoor_Khe_Ngang,vagus_Manh_buffalo
1,0.0464371497197758,0,0.0130576713819369,0.117775354416576,0.00499999999999998,0.101152368758003,0.0747252747252747,0.0352422907488986,0,0.25,0.5,0.0708180708180708,0.0827067669172933,19,0,0.12,6,6,0.115,0.17,4,6,4,1.03,4,10,0,0.95,108,4,0.46,1
2,0.100880704563651,0.224089635854342,0.0429815016322089,0.059432933478735,0.0333333333333333,0.089628681177977,0.0571428571428571,0.0726872246696035,0.0229226361031519,0.25,0.5,0.113553113553114,0.0695488721804511,34,2,0.23,32,3,0.145,0.13,6,16,6,0.42,11,35,5,0.63,111,5,0.55,8
3,0.159327461969576,0.0182072829131653,0.0533188248095756,0.117230098146129,0.131666666666667,0.0819462227912933,0.105494505494505,0.079295154185022,0.0343839541547278,1,7,0.0744810744810745,0.0756578947368421,44,3,0.25,16,2,0.2,0.07,5,6,8,0.27,28,32,3,0.44,137,2,0.55,7
4,0.088070456365092,0.0182072829131653,0.0712731229597388,0.059432933478735,0.158333333333333,0.112676056338028,0.103296703296703,0.0859030837004405,0.163323782234957,12,1,0.0695970695970696,0.130169172932331,61,4,0.37,20,2,0.1,0.04,1,4,8,0.18,15,61,4,0.38,135,4,0.96,24
5,0.0592473979183347,0.072829131652661,0.11316648531012,0.059432933478735,0.165,0.124199743918054,0.202197802197802,0.0903083700440529,0.00573065902578801,14,3,0.0915750915750916,0.101503759398496,135,7,0.47,27,3,0.15,0.1,4,18,3,0.08,12,50,3,0.32,148,9,1.7,9
6,0.0720576461168935,0.112044817927171,0.153427638737758,0.174482006543075,0.101666666666667,0.0960307298335469,0.112087912087912,0.0859030837004405,0,16,10,0.0354090354090354,0.0765977443609023,141,2,0.19,50,3,0.04,0.04,9,15,4,0.03,2,58,4,0.26,188,5,1.4,12
7,0.0712570056044836,0.0742296918767507,0.11044613710555,0.059432933478735,0.125,0.0396927016645326,0.0637362637362637,0.145374449339207,0,7,6,0.054945054945055,0.0756578947368421,140,2,0.21,34,2,0.12,0,6,9,4,0.11,13,66,3,0.34,183,8,1.2,11
8,0.100080064051241,0.128851540616246,0.119151251360174,0.059432933478735,0.14,0.0973111395646607,0.180219780219781,0.229074889867841,0.148997134670487,25,2,0.135531135531136,0.111372180451128,143,2,0.3,47,1,0.12,0.09,8,20,3,0.2,9,50,2,0.21,158,9,1.2,8
9,0.129703763010408,0.149859943977591,0.1240478781284,0.059432933478735,0.0933333333333334,0.0921895006402048,0.0549450549450551,0.0506607929515419,0.289398280802292,25,2,0.0842490842490842,0.0747180451127819,120,3,0.21,46,0,0.13,0.06,3,15,2,0.11,13,39,2,0.2,199,5,1.2,7
10,0.11529223378703,0.128851540616246,0.0952121871599565,0.174482006543075,0.0166666666666667,0.0781049935979513,0.024175824175824,0.0440528634361234,0.189111747851003,18,1,0.124542124542125,0.0667293233082707,107,1,0.14,32,1,0.12,0.04,5,6,0,0.09,15,43,2,0.32,188,5,1.6,6
11,0.0576461168935148,0.0560224089635854,0.0903155603917302,0,0,0.0486555697823304,0.00439560439560421,0.066079295154185,0.0401146131805158,5,0.25,0.11965811965812,0.0902255639097744,157,0,0.09,28,1,0.03,0.11,7,7,2,0.13,32,44,2,0.3,218,1,1.1,13
12,0,0.0168067226890756,0.0136017410228509,0.059432933478735,0.03,0.0384122919334185,0.0175824175824174,0.0154185022026432,0.106017191977077,NA,NA,0.0256410256410256,0.0451127819548872,62,0,0.1,11,0,0.07,0.11,2,4,2,0.41,4,36,0,0.43,126,3,0.5,4
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
